,p
7_51,The negotiation on BIMSTEC free trade agreement is on-going.
7_66,"To achieve the objective of Economic Development Policy 2010, the Foreign Direct Investment Policy (FDI) was revised in 2010 and made more liberal by incorporating a negative list in its provisions"
7_50,"At the regional level, Bhutan is member of the Bay of Bengal Initiative for Multi-Sectoral Technical and Economic Cooperation (BIMSTEC)"
7_67,"Since its revision, 41 FDI projects have been approved of which 18 are operating and 24 projects have been issued with FDI registration certificates"
7_53,"It aims to reduce tariffs in stages to reach 0-5 percent level by 2013, with a longer time frame for the Least Developed Countries (Bhutan, Bangladesh and Nepal) to reach that goal by 2016"
18_8,"Also, the government has initiated number of proactive measures to further strengthen the process of decentralization, including the introduction of Gewog Based Planning process in the Ninth Plan and the rationalized formula based annual grants system for all local government from the Tenth Plan"
7_60,"In terms of the type of industries, there are 291 agro-based, 831 forests based, 209 mineral based, 20,799 services and 646 others"
7_52,The South Asia Free Trade Agreement (SAFTA) aimed at reducing tariffs for intraregional trade between the eight South Asian countries came into effect on 1 January 2006
18_14,Gender equality - The Constitution guarantees equality for all its citizens including women
18_15,"Furthermore, it contains special provisions to eliminate all forms of discrimination and exploitation65 against women including trafficking, prostitution, abuse, violence, harassment, intimidation, degrading treatment and economic exploitation"
11_19,"Most of the existing primary and secondary national highways, including the Northern East-West highway, were constructed in the 1960s and 1970s when the traffic volume was low with the primary objective of providing connectivity to settlements"
11_18,5.11.2 Key Challenges
18_10,"Public Service Management - To promote meritocracy, enhance efficiency, transparency, professionalism and accountability in the civil service, number of civil service reforms have been implemented such as the Position Classification System in 2006, the Civil Service Act 2010 and the revised Civil Service Rules and Regulations 2012"
18_11,"Currently, there are 24,275 civil servants providing public services delivery."
18_12,"64Revised resource allocation formula includes multi-dimensional poverty index, transport cost index, population and geographical area."
18_7,"Accordingly, the first local government elections were held in 2011 and the next local government elections are scheduled to be held in 2016."
11_13,Dzongkhag Roads (currently feeder Roads);
11_12,"National Highways - consisting of Asian Highway/International Road (currently Phuentsholing-Thimphu Highway), Primary National Highway (existing East-West Highway and North-South highways) and Secondary National Highway (currently District Roads);"
11_11,Bhutan's road transportation network is classified into five categories as follows:
11_10,5.11.1 Current Situation
11_17,"Currently, Bhutan has 10,578.26 kilometers of various categories of roads, 337 numbers of bridges totaling 10,604.5 meters and 380 pedestrian bridges nationwide."
11_16,Access Roads.
11_15,Thromde Roads (currently Urban Roads); and
11_14,Farm Roads (currently Farm Roads and Power Tiller Roads);
13_70,"Promotion of affordable housing and home ownership: The NHDC will construct affordable housing particularly in Dzongkhags/towns like Thimphu, Phuentsholing, Samdrup Jongkhar, Lhuentse and Gasa where housing shortage is a major problem."
18_9,The formula for local government annual grants was reviewed and revised64 and the Eleventh Plan resource envelop to the local governments are based on the revised resource allocation formula.
16_52,Re-construction of Wangduephodrang Dzong
16_3,"Bhutan's unique identity is reflected through its language, dress, architecture, etiquette, indigenous sports, and the everyday Bhutanese way of life"
18_2,"Bhutan has made good progress in strengthening governance through promotion of transparency, efficiency and accountability in the political and administrative processes."
18_3,"The Eleventh Plan will continue to place emphasis on further strengthening governance by strengthening democracy, improving public service delivery, promoting gender equality, curbing corruption and enhancing safety."
13_11,Housing: The National Housing Development Corporation Limited (NHDCL) was established on 15 July 2003 to promote and develop housing in Bhutan in line with the National Housing Policy 2002
13_10,The main thrust of the human settlement sector will be to develop strategic human settlements with a focus on balanced regional development and improving the quality of life and socio economic status of both urban and rural residents.
13_13,"The main thrust of housing sector in the Eleventh Plan will be to provide safe, adequate and affordable housing to all and promote homeownership"
13_12,It was corporatized in 2009.
13_15,5.13.1 Current Situation
13_14,"Where feasible, participation of the private sector will be encouraged."
13_17,"However, the emergence of unplanned settlements near the urban areas is constraining urban expansions and provision of service facilities"
13_16,"Human Settlement: - Till recently, priority was accorded to planning and development of urban centres and not on human settlements"
13_19,"As of now, comprehensive human settlement plans do not exist, other than structural and local area plans for settlements classified as i) Class A Thromdes - Thimphu, Phuentsholing, Gelephu and Samdrup Jongkhar; ii) Class B Thromdes - Dzongkhag centre; and iii) Yenlag Throm"
13_18,"Therefore, DHS was mandated to develop settlement plans that take into consideration the planning of an entire region."
18_1,The fourth pillar of GNH is Good Governance as it provides an enabling environment that is vital for sustainable and equitable socio-economic development
9_48,"Create talent pool and strengthen ICT human resource management through parenting, clear career advancement opportunities and effective deployment and utilization of ICT personnel."
5_23,Rapid development and urbanization has put a lot of pressure on agriculture land
6_16,"The highest number of visitors was from Japan at 15.98 percent, followed by USA at 13.67 percent and China at 8.57 percent"
6_17,"Among the regional tourist, arrivals from India topped the list with 87 percent, followed by Bangladesh at 11 percent and Maldives at 2 percent."
6_14,The average length of stay was 6.90 days.
6_15,"The arrival figures include about 57 percent international visitors, 26 percent regional high-end visitors, 16 percent MICE (Meeting, Incentive, Conferences, Exhibition) visitors, and 1 percent familiarization visitors"
6_12,"With improvements in tourism infrastructure facilities and better air connectivity, the number of tourist arrivals to Bhutan has increased from about 6,000 in 2001 to about 105,407 in 2012"
6_13,"The figure includes 54,685 international visitors and 50,722 regional visitors"
6_10,"Other taxes such as the Business Income Tax (BIT) and Sales Taxes paid by tourism service providers also translate into government revenue, therefore increasing revenue generated by the tourism industry."
6_11,5.6.1  Current Situation
7_39,The balance of trade has always been in Bhutan's favour ever since the commencement of trade with Bangladesh.
7_38,1226.66 million in 2011
6_18,"In terms of the tourism spread, Paro Dzongkhag hosted the maximum bed nights (32.69 percent) followed by Thimphu, Wangduephodrang, Punakha and Bumthang"
6_19,"Pemagatshel, Zhemgang, Tsirang, Dagana, Sarpang and Samtse were among the Dzongkhags that hosted less than 0.04 percent bed nights"
5_3,About 62.238 percent of the population directly depended on agriculture for their livelihood.
5_2,"For an agrarian country like Bhutan, the RNR sector plays a vital role in bringing about equitable development through enhancing rural prosperity and poverty alleviation"
5_1,"RNR sector comprises of agriculture, livestock and forestry"
5_0,Renewable Natural Resources (RNR) Sector
5_7,5.5.1  Current Situation
5_6,"Consequently, dependence on import of food and food grains remain high and returns to farmers remain small as a result of higher costs of production and low economies of scale."
5_5,"The sector's full potential is challenged by low productivity due to issues such as acute shortage of farm labour driven by outbound rural-urban migration, loss of arable land to urbanization, difficult terrain, fragmented land holdings, loss of crops to wildlife, lack of access to market and agricultural credit, climate change and natural disasters, post harvest management issues and subsistence nature of farming"
5_4,"However, in spite of the changes and innovations infused over the years to propel RNR sector growth, the sector's growth remained insufficient to adequately address rural poverty, attain food security and to sustain the overall economic growth"
5_9,"60 percent of cereal, vegetables and animal products are domestically produced, and 95 percent of fruits and nuts are domestically available, with apples and oranges enough to be exported"
5_8,"Based on food availability, access and nutrition, Bhutan is modestly food secure"
1_57,"According to Royal Education Council's (REC) research study on the quality of education, the overall trend indicates that there is a big gap between the current and the desired state in the quality of outcomes and processes"
1_56,"In our case, most students perform poorly in math and science, and have similar weaknesses even in English despite it being the medium of instruction for most subjects at all levels in school and higher education."
1_55,"In all the countries that have succeeded in the economic areas we strive to develop, the competitive advantage of their education system has been a high level of performance in math and science"
1_54,"Of particular concern in the outcome of education, which is highly relevant to achieving our Plan objective, is weak student performance in the foundational subjects"
1_53,Given that today the largest section of our population are youth our window of opportunity is small and therefore improving the quality of education is urgent
1_52,"This calls for building on our strong foundations an education system that is not only free but is of such quality that it provides the knowledge, skills and attitude to allow our people to tap their full potential and succeed"
1_51,"The fact that most of our students are unable to meet the admission criteria of top tier tertiary education institutions abroad, particularly for professional courses, is but one testament of the poor learning outcomes of our education not being commensurate to the requirements of youth today"
1_50,"Furthermore, the rapid socio-economic development and transformative changes that have been taking place, both domestically and globally, require higher standards in education at a scale that has never been met or required before"
17_56,It is also increasingly evident that poor environmental quality has adversely affected human health
9_29,5.9.2  Key Challenges
14_49,"Therefore, it is difficult to recommend concrete result oriented programmes to address these issues in the Eleventh Plan."
1_59,The overall level of performance of students is just above passing grades;
1_58,Some of the key deficiencies in the quality of learning outcomes and processes highlighted in the report include:
5_71,Market development
5_70,National livestock development
5_73,National bio-security and food safety
5_72,RNR Research and extension services
5_74,Programme details are presented in Eleventh Plan Volume II document.
8_28,"Maintaining the balance between the needs of domestic consumption and export earnings, meeting the demand by households and industries, and the cost of electricity supply and viability of tariff levels will be a challenge till new hydropower projects are commissioned."
14_16,"It provides services and facilities to address the needs of families and individuals with multiple impairments, especially children living with mental retardation, cerebral palsy, autism and multiple disabilities.   Royal Society for Senior Citizens, established as a CSO in 2011 to enhance human security especially amongst its old age citizens.   Lhak-Sam, established by a group of HIV positive people in September 2009 and registered as CSO in 2010"
12_30,"Construction sector perceived poorly for employment: With three new hydropower projects under construction and seven new projects planned to be started in the Eleventh Plan, there are ample opportunities for addressing unemployment"
12_31,"However, construction sector jobs are perceived as inferior by many Bhutanese and as a result foreign workers51 are brought in to fill the gap"
12_32,"Some of the reasons for this perception are low wages, lack of job security (workers have to find a new job once the construction project is completed), low level of mechanization and the manual nature of work."
12_33,"Limited capacity and poor quality: The shortage of engineers, architect and other qualified professionals combined with a lack of basic tools and technology for effective planning, designing and supervision results in frequent changes in the scope of work and consequently the cost of construction projects"
12_34,It is estimated that Bhutanese construction projects are 15-20 percent more costly and take 50 percent longer to complete compared to similar construction work by Indian contractors on similar projects
12_35,90 percent of all construction projects in Bhutan have time and cost overruns as compared to 40 percent in India and 5 percent in best-in-class countries52
12_36,"Further, due to poor quality of construction, the cost of maintenance is expected to be double the industry standard."
12_37,5.12.3 Sector Key Result Areas
12_38,5.12.4 Strategies
12_39,"Training and capacity building of engineers, architects and other professionals in the construction sector will receive high priority in the Eleventh Plan's Human Resource Development Master-plan."
14_3,"While insufficient data makes it difficult to assess the scale of these challenges, they cannot be ignored"
7_86,Further development of mining sector will be pursued considering the environmental and social impacts and intergenerational equity.
7_87,5.7.2  Key Challenges
7_84,"233 million annually, excluding business/corporate/personal income taxes paid by the promoters of the mines"
7_85,The mineral production and their uses over the last three years are as follows.
7_82,"During the period 2005 to 2011, revenues from mining sector ranged from Nu"
7_83,155 million to Nu
7_80,There are currently about 55 registered firms in the mining sector.
7_81,Mining is important source of revenues
14_36,"Senior citizens - Baseline Survey for the Royal Senior Citizens 2013 estimates that there are 101,563 senior citizen (55 years and above), of which 62 percent were males and 38 percent were females"
17_100,This will be further supported through the enforcement of Water Act and development of water regulation.
9_21,The Second International Gateway has been established at Gelephu and operationalized to create the required redundancy
18_5,Democracy and Decentralization - The second Parliamentary elections was held on 13 July 2013 and the Peoples Democratic Party was elected to form the second government for a term of five years.
7_88,Foreign trade - Foreign trade is dominated by a few products
7_89,"In 2011, about 80 percent of Bhutan's total export amounting to Nu"
8_18,"For the same category, the tariff is Rs 4.59 a unit in Assam"
8_19,"When it comes to medium voltage (MV) consumers, the tariff is Rs 6.97 a unit in West Bengal, and Rs 3.25 a unit in Assam"
14_34,The prevalence of disability was higher among the age group 2-5 years
8_10,"To ensure electricity for all and for inclusive growth, the government has actively pursued rural electrification since the Sixth Plan (1988-1993)"
8_11,"Till date 82,270 households have been electrified out of the total of 88,642 households in the country resulting in overall electrification coverage of 92.82 percent."
8_12,"Besides mega hydroelectricity plants, the installed capacity from renewable energy technologies is about 8,152 kW (solar PV contributing 152 kW and from small hydro projects 8,000 kW)"
8_13,"Further, about 900 biogas plants and 10 solar heating systems were promoted as part of the programme to promote alternate renewable energy."
8_14,"The domestic electricity tariff was revised recently in October 2013 and in spite of about 15-20 percent increase for different categories of consumers, it is still the lowest in the region"
8_15,"For example45, in the neighbouring Indian state of West Bengal, the lifeline block, meant for rural households, has a cap of 75 units, with a tariff of Rs 3.19 a unit"
8_16,"In the bordering state of Assam, the lifeline block is capped at 30 units and the tariff is Rs 2.75 a unit"
8_17,"The cap for low voltage (LV) users in West Bengal is 350 units, with tariff averaging at Rs 5.69 a unit"
14_54,"Within the framework of Civil Society Act 2007 and based on comparative advantage of the CSOs, the government will work in close partnership with the various CSOs to address these issues."
14_50,5.14.3 Strategies
14_51,"In order to assess the current situation and plan appropriate interventions, a more detailed study on the issues will be carried out"
14_52,Strategies and programmes will be formulated based on these studies
14_53,The government's intervention will be through broad-based programmes and prioritizing issues within sectoral programmes
14_38,"The study also revealed that 46 percent of senior citizens were cared for by families led by themselves, 23 percent were taken care of by their sons and 22 percent by daughters"
17_104,Sustainable production and utilization of timber and non-timber forest based products will be pursued through sustainable forestry management practices.
14_39,6 percent lived with their cousins and 3 percent with other relatives
12_53,The construction of water reservoirs in water stressed towns will also be initiated
12_45,Promotion and Strengthening of Construction Sector: The Construction Development Board (CDB) will concentrate on promoting efficient and quality based construction sector
12_44,5.12.5 Key programmes
12_47,The benefits of creating an autonomous Construction Development Authority (CDA) to be able to discharge its roles and responsibilities efficiently will be explored.
12_46,These will be carried out through awareness programs among the contractors and mechanization
12_41,To encourage youth to work in the construction sector special service conditions such as job security and better wages will be explored
12_40,"Mechanization of construction sector, use of local construction materials, centrally fixed rate contracts for some key materials (like cement, steel, bitumen etc.) will be pursued in order to avail institutional-buyer-discounts to reduce the cost of construction."
12_43,Vocational training graduates will be encouraged to form their own construction firms and the government will provide necessary support for start-ups.
12_42,Vocational training programmes will be aligned to the needs of construction industry and will include apprenticeships and on-the-job trainings
17_59,Although the Government has enacted Waste Prevention and Management Act in 2009 yet there are challenges in terms of proper waste management
17_58,"Interventions such as reducing indoor air pollution, protecting sources of safe drinking water, protecting soil from contamination, improved sanitation measures, and better public health governance, offer tremendous opportunities for reducing the incidence of a number of critical health problems."
14_9,"Besides, there are a number of civil society organizations (CSO) and associations working in these areas such as:"
12_49,Flood risk assessment and vulnerability mapping will also be carried out
12_48,"Engineering Adaptation and Disaster Risk Reduction: The major activities to be undertaken during the plan period are construction of flood protection walls and land reclamation along major flooding rivers, disaster risk assessment and mapping and development of guidelines and manuals"
17_105,"To address the issue of human-wildlife conflict, the Ministry of Agriculture and Forest will construct solar-powered electric fence, provide electric fence energizer and will continue with Gewog level insurance programs for livestock and crops from endowment funds"
5_22,Both are on the decline
18_29,One area Bhutan scores low is the political participation
18_28,The Democracy Index produced by the Economist Intelligence Unit ranks Bhutan 104 out of 167 countries in 2011
3_40,1.4 billion will be earmarked for technical and critical skills development and the remaining Nu
3_41,0.6 billion for general human resource development programmes.
18_25,"Similarly, the ACC's 2012-13 annual report indicates that corruption is still a major challenge although people's perception of the prevalence of corruption is declining"
17_37,"The data collected through the survey indicate that the main rivers and their major tributaries, with a few exceptions, are still unpolluted"
18_27,"Democracy and Decentralization - Democracy was introduced in Bhutan in 2008, and a democratic culture has yet to find firm footing"
18_26,"In 2012-2013, ACC received 449 complaints compared to 458 cases in the previous year.5.18.2 Key Challenges"
18_21,"In absolute terms, the number of female civil servants increased from 2,180 in 1996 to 7,926 in 2012."
5_20,5.5.2  Key Challenges
18_23,"- ACA 2011 (repealing ACA 2006) was enacted, various new rules and regulations such as such Gift Rules 2009, The Debarment (of Corrupt Firms) Rules 2008 and Asset Declaration Rule 2012 have been put in place and the National Anti Corruption Strategy launched"
17_36,The National Environment Commission conducts water quality surveys and monitoring along major rivers and tributaries at least twice annually; pre- and post-monsoon
5_21,Loss of agriculture land and declining productivity - Achieving food self-sufficiency would largely depend on area under food grain cultivation and yield per hectare
17_35,"All rivers originate within the country except Amochhu, Gongri and Kurichhu all of which originate in the southern part of the Tibetan Plateau."
5_26,Studies also indicate that yield per hectare has been on the decline at a compounded annual rate of 1.84 percent over the last 27 years
17_34,"The three smaller river basins include Meramachhu, Jomotshangkhachhu and Sherichhu"
17_101,"Environmental assessment process will be strengthened through establishment of four regional environment offices which also aims to deliver prompt, professional and effective public services"
5_27,"This could be attributed to various factors such as declining investment in the agriculture sector, loss of prime agriculture land to other use, climate change, land being kept fallow due to shortage of farm labour/irrigation, loss of crop to wildlife and limited scope of mechanization"
5_24,"According to the Department of Agriculture's estimates, about 2000 acres of agricultural land was lost to non-agriculture development purposes during 1998-2008"
6_46,"Sustainable Tourism Development: The focus of this programme will include product diversification to ensure regional and seasonal spread, improving quality and standards of services including accommodation and tourism attractions, exploring new markets, and decentralization of tourism planning and development"
5_25,This is likely to increase in the near future with increased development activities unless effective measures are put in place to protect prime agricultural lands.
17_69,"It is also a vital resource for our agriculture, hydropower projects and industries"
17_78,"In the absence of rain, farmers are forced to leave their land fallow and this has direct impact on poverty and national food and nutrition security goals"
18_17,"Although female literacy rate has improved from less than 40 percent in 2010 to 55 percent68 in 2012, it remains low compared to the male literacy rate of 72 percent"
9_10,"The objective of the E-gov Master Plan is to consolidate and optimize the investments in various IT infrastructures during the Tenth Plan period for improved service delivery, enhanced access to services and information and facilitating good governance"
9_17,"The Act is being revised to incorporate provisions on cyber security, data protection, privacy, broadcasting etc"
17_5,"Through the declaration entitled ""Declaration of the Kingdom of Bhutan - The Land of Gross National Happiness to Save our Planet"" the government has committed to maintain Bhutan's status as a net sink for Green House Gasses by ensuring that greenhouse gas emission levels do not exceed the sequestration capacity of its forest"
2_8,5.2.1  Current Situation
2_9,Considerable progress has been made in developing the capacity of the health system and it has resulted in significant improvements in health outcomes.
18_20,Female civil servants account for 32 percent68 of the total civil servants
16_29,"The younger generations are either not keen or do not have the skills to continue these traditions, many having left their village, as a result of rural-urban migration"
17_92,5.17.4 Strategies
2_0,Health Sector
2_1,"All Bhutanese avail free health services from primary to tertiary level health care as a right guaranteed by the Constitution of Bhutan under its Principles of State Policy, Article 9, Section 21, which states that: ""the State shall provide free access to basic public health services in both modern and traditional medicines."" Health is also an important component for happiness and wellbeing"
2_2,"The 2010 GNH Survey reports that health domain contributed 14 percent to GNH, the highest contribution among the nine domains."
2_3,"While provision of health care services is the responsibility of the Health Sector, the need to involve other sectors in addressing health issues is equally important"
2_4,"Adoption of the ""GNH Policy Screening Tool""31 which has health as one of the variables for policy screening has facilitated in mainstreaming health."
2_5,"In the Eleventh Plan, the Ministry of Health shall strive towards achieving universal health coverage by focusing on providing improved and equitable access to quality health care services"
2_6,Continued efforts shall be made in achieving goals and targets beyond MDGs
2_7,Investments will also be made in working towards fulfilling the global monitoring framework for prevention of non-communicable diseases (NCDs).
12_14,Its membership includes all firms under the construction industry.
9_16,"Policy: Bhutan Information, Communication and Media Act (BICMA) 2006 provide the overall legal framework for the development of ICT and media sector"
17_79,Many irrigation channels constructed in the past remains unutilized due to lack of water
1_19,"Tertiary education in Bhutan comprises of three years of undergraduate studies provided by the Royal University of Bhutan (RUB) through its 10 constituent colleges located in various parts of the country and one private college, the Royal Thimphu College"
1_18,These institutes generally cater to students or school leavers after Class X with the objective of imparting knowledge skills necessary to make them employable in the labour market.
2_38,"With the increasing rate of urbanization, deployment of health personnel to rural areas will become a new challenge"
2_39,"Workload, remuneration, and many other workplace factors need to be looked beyond Civil Service norms otherwise shortage of health human resource will become a major problem.In comparison to Bhutan's 2 doctors per 10,000 people in 2012, India had 6 doctors per 10,000 people in 2003, Malaysia had 7 doctors per 10,000 people in 2000, Pakistan had 7 doctors per 10,000 people in 2003 and Singapore had 14 doctors per 10,000 people in 200133."
1_13,The Bhutan Council for School Examinations and Assessment (BCSEA) conducts the national examinations for classes X and XII
1_12,"Beyond class X, government funded education is based on merit."
1_11,"At the end of the cycle (Class X) there is a national board examination, Bhutan Certificate for Secondary Education (BCSE)"
2_37,Consolidation of health infrastructure would therefore be a strategic area of focus.
2_30,On the other hand there are no standard health services package developed at all levels of service delivery and standard operating procedures for most of the services and procedures needs to be developed
2_31,"In absence of such standards, it is very difficult or near impossible to measure the quality of health care delivery."
1_15,"The TVET system comprises of 8 institutes spread across the country with an intake capacity of about 1,000 students a year and 138 teachers"
1_14,"The examinations for classes VI and VIII have been decentralized to the schools, although the questions, model answers and marking schemes are provided by the BCSEA."
14_2,"The rising rural-urban migration, changing urban lifestyle and exposure to information and media are giving rise to breakdowns in family relationships, drug abuse, crime and youth related problems"
17_77,"Similarly, despite abundance of water resources at macro level, arable land is largely dependent on rains"
7_128,"In order to promote balanced regional development and enhance rural economy, four Industrial Parks will be developed and established at Bondeyma in Mongar, Dhandhum in Samtse, Motanga in Samdrup Jongkhar and Jigmeling in Sarpang"
17_76,"Till recently, surface water was the main source for drinking water but some towns like Thimphu, Gelephu and Samdrup Jongkhar have now resorted to exploring ground water due to acute water shortages."
17_51,5.17.2 Key Challenges
18_22,"Curbing corruption - In an effort to curb corruption, the Anti-Corruption Act 2011"
1_80,"Sustainability: The share of education sector budget to the five year plan outlays has averaged around 11 percent over the last ten five year plans, with allocation increasing from Nu"
1_81,9.4 million during the 1st Plan (1961-1966) to Nu
1_82,"10.3 billion in the 10th Plan (2008-13), of which Nu"
1_83,875 million was for current expenditure and Nu
1_84,"9,489 million for capital expenditure in the Tenth Plan"
1_85,The expenditure in the education sector is expected to further increase in coming years particularly with increasing cost of maintenance of past infrastructure investments and additional capital investments to absorb the increasing enrollment pressure at various levels
1_86,"In addition, with the phasing out of WFP's assistance after 2018, the government will need to take over the school feeding programme"
1_87,The school feeding programme has been one of the important factors contributing to the better enrollment rates.
1_88,5.1.3  Sector Key Result Areas
1_89,The sector key result areas and key performance indicators for TVET and Education sector are as follows:
13_44,"Human Settlement - In absence of a clear legislation such as the National Spatial Planning Act and the National Human Settlement Policy it is difficult to plan, coordinate and implement human settlement strategy."
13_45,The sector also faces acute shortage of human resources
13_42,900) in Gasa and Lhuentse.
13_43,5.13.2 Key Challenges
13_40,"Households in the poorest per capita consumption quintile paid a house rent of Nu 1,217 a month, on average, while the richest households pay about Nu 4,487"
13_41,"The average monthly rental is highest in Thimphu and Wangduephodrang (about Nu 5,000) and lowest (about Nu"
2_49,"Although Bhutan is making all efforts to eliminate malaria, cross border transmission is still an issue"
2_48,The impact of climate change is already becoming visible with malaria cases being detected in areas that were once free of the disease
7_48,"In terms of global and regional trade agreements, accession to World Trade Organization (WTO) is still under consideration"
7_49,The Working Party for Accession to WTO was established in 1999 and its memorandum on Bhutan's Foreign Trade Regime was submitted in 2003
6_49,Strengthening of Royal Institute of Tourism and Hospitality: The Institute is expected to enhance the quality of tourism and hospitality professionals by benchmarking its training programmes to international standards and working towards its vision of becoming a regional center of excellence
6_48,The thrust area for this industry will continue to be high end sustainable tourism destination.
17_49,"Results revealed no pollution (water quality class I) in Cheri, critical to heavy pollution (III/IV) in Babesa, and critical to moderate pollution (III/II) in Khasadrapchhu."
17_107,5.17.5 Key Programmes
2_41,"Consequently, diabetes, hypertension, cancers and traffic injuries are increasingly on the rise"
2_40,"Non-Communicable Diseases (NCDs): NCDs are establishing its presence with modern sedentary lifestyles, traditionally high-fat-based dietary habits and consumption of alcohol and tobacco"
2_43,"We would need to intensify our efforts on health promotion, multi-sectoral response to NCDs and ensuring health is considered as a critical component in all policies."
2_42,"Besides the profound implication on the quality of life of individuals, families and society at large, the cost of treating patients with NCDs is exorbitant"
2_45,"The expansion of economic activities and increasing affluence and travel, import of foreign labour and casual attitude of the people towards sex is a major challenge in the battle against HIV/AIDS"
2_44,"HIV/AIDS, TB, Malaria and Neglected Tropical Diseases (NTDs) - HIV/AIDS cases have increased from 2 in 1993 to 321 in 2013"
2_47,"However Multi Drug Resistant (MDR) TB, and HIV-TB co-infection is increasing"
2_46,The TB case detection and treatment is progressing well
12_0,Construction Sector
12_1,The construction sector plays a vital role in the delivery of quality infrastructure which is essential for our socio-economic development
12_2,It is also a key sector in terms of its contribution to economic growth and employment
12_3,The key agencies responsible for the development of construction sector are:
10_9,Surface Transport - Surface transport is the main means of passengers and good transportation
12_5,"DES is responsible for promoting construction technology, providing technical backstopping to the other ministries, Dzongkhag Administrations and Thromdes and supporting professional development of all the engineers."
12_6,Construction Development Board (CDB): CDB is a bridge between the government and the construction industry and is responsible for facilitating development of a vibrant construction industry
12_7,"Its core functions include registration, classification and monitoring of contractors, consultants and engineers/architects."
12_8,Construction Development Corporation Limited (CDCL): CDCL was established on 1st July 2006 as a public sector company owned by the Royal Government of Bhutan with the following objectives:
12_9,"Enhance efficiency, mechanization, improve standards and create a good benchmark of quality infrastructure in the construction sector."
14_0,Emerging Social Challenges
14_8,"The Office of Gyalpoi Zimpon has also been providing support to the underprivileged youths, orphans and senior citizens in the form of monthly stipends and rations."
17_103,Conducting strategic environmental assessment for hydropower projects and transmission lines and carrying capacity of the mines and industries to ensure sustainable development and inter-generational equity.
1_108,"Targeted programmes will include activities like additional infrastructure facilities, improved teacher deployment, special incentive packages and in certain situation where cost of service delivery is very high it could include relocation of students to nearby schools with boarding facilities."
1_109,"Rationalization of schools: In pursuit of improving access, past Plans focused on extensive education infrastructure expansion program resulting in 553 schools and 112 Extended Classrooms (ECRs) for about 180,000 school children"
10_4,The focus of surface transport activities will be the implementation of the Bhutan Transport Strategies 2040
10_5,The primary objective of Bhutan Transport Strategy is to address the issue of growing traffic congestion particularly in Thimphu and Phuentsholing and improve access to reliable and safe public transport to all parts of the country
10_2,The surface transport is regulated by the Road Safety & Transport Act 1999 and air transport by theCivil Aviation Act 2000.
10_3,"The main thrust of the transport sector in the Eleventh Plan will be to ensure safe, efficient and reliable transport services."
10_0,Transport Sector
10_1,Transport sector covers surface and air transport
1_100,Giving teachers the skills and tools to raise the quality of classroom instruction through continuous professional development and structured teaching-learning resources;
1_101,"Developing Principals to become Instructional Leaders - through leadership training, professional support and instructional improvement processes;"
1_102,"Enabling the capacity of schools to focus on learning and teaching through policies to promote autonomy, accountability, incentives and improving the quality of instructional tools and infrastructure facilities to support learning;"
1_103,"Maintain relentless focus on implementation - demonstrate real changes in school, manage change and build institutional capacity to execute reforms;"
1_104,"Ensuring students grasp basic academic concepts, acquire essentials life skills and are fully equipped for college and professional life;"
1_105,The possible introduction of a vouchers scheme for meeting the targets for tertiary enrolment that will also encourage private participation in this sector.
1_106,Targeted intervention programmes: Targeted intervention programmes will be developed to address disparities
1_107,"The focus will be on Dzongkhags with education indicators below the national average and hard to reach communities, children in remote areas, nomadic communities etc"
5_48,5.5.4  Strategies
5_49,"A key strategy will be to transform the RNR sector into a commercially viable sector that provides higher returns to the farmers, improves rural livelihood, reduces imports and promotes exports, and offers attractive employment opportunities to youth"
16_6,"Futhermore, the preservation and promotion of culture is accorded priority not just for strengthening our identity but also as an economic imperative for tourism and to address poverty through the development of cultural industries."
16_7,5.16.1 Current Situation
16_0,Preservation and Promotion of Culture
16_1,The preservation and promotion of culture is an important pillar of GNH and one that distinguishes Bhutan's development
16_2,"The focus is on strengthening our unique cultural identity to reinforce national cohesion and unity that are vital for peace, stability and sovereignty of our nation"
7_129,"Further, the development and management of industrial parks in Jigmeling and Dhamdum would be pursued through PPP model and additional infrastructures in existing parks would be developed"
5_40,Labor shortage including increasing feminization of the agricultural labour force is becoming one of the leading constraints in agriculture production
5_41,"According to agriculture statistics 2011, available farm labour constitutes only 26 percent"
5_42,Rural female population is more by 3.7 percent overall
5_43,"In the age group of 15-64 which is also an active population group, female population is higher by 7.5 percent, and this is likely to increase"
5_44,This gender imbalance in agriculture workforce will also have significant impact on agriculture.
5_45,These factors have contributed to RNR sector providing the least monthly earnings among all major occupations
5_46,"If this trend continues, it is likely that more and more people could leave their farms which could adversely impact the goals of achieving food and nutrition security, reducing unemployment levels and, may likely reverse the gains achieved in poverty reduction."
5_47,5.5.3  Sector Key Result Areas
2_34,In addition Bhutan does not have training institutes for most categories of health workers
12_19,The construction sector contributed about 16 percent of nominal GDP and recorded an annual growth of 35 percent in 2011
7_139,Enhance competitiveness and innovation
2_35,"Even in the region, there are few reputed health training institutes so limitation in availability of slots is a challenge."
7_137,Facilitate access to finance and incentives
7_136,3
7_135,Strengthen the legislative framework and enterprise environment
7_134,2
7_133,Strengthen the policy environment and institutional framework
2_36,Therefore we will continue to face health human resource shortage in the Eleventh Plan even as we face the need to expand health services
7_131,"In accordance with the MSME Policy 2012, the development of CSIs will be promoted through six broad objectives:"
